"state_district_id","district_name"
10100010000,"ALBANY CITY SD"
10100860829,"BRIGHTER CHOICE CS-BOYS"
10100860830,"BRIGHTER CHOICE CS-GIRLS"
10100860867,"KIPP TECH VALLEY CHARTER SCHOOL"
10100860892,"HENRY JOHNSON CHARTER SCHOOL"
10100860899,"ALBANY COMMUNITY CHARTER SCHOOL"
10100860907,"GREEN TECH HIGH CHARTER SCHOOL"
10100860960,"ALBANY LEADERSHIP CS-GIRLS"
10201040000,"BERNE-KNOX-WESTERLO CSD"
10306060000,"BETHLEHEM CSD"
10402060000,"RAVENA-COEYMANS-SELKIRK CSD"
10500010000,"COHOES CITY SD"
10601060000,"SOUTH COLONIE CSD"
10615020000,"MENANDS UFSD"
10623060000,"NORTH COLONIE CSD"
10701030000,"GREEN ISLAND UFSD"
10802060000,"GUILDERLAND CSD"
11003060000,"VOORHEESVILLE CSD"
11200010000,"WATERVLIET CITY SD"
1.9e+10,"CAPITAL REGION BOCES"
20101040000,"ALFRED-ALMOND CSD"
20601040000,"ANDOVER CSD"
20702040000,"GENESEE VALLEY CSD"
20801040000,"BELFAST CSD"
21102040000,"CANASERAGA CSD"
21601040000,"FRIENDSHIP CSD"
22001040000,"FILLMORE CSD"
22101040000,"WHITESVILLE CSD"
22302040000,"CUBA-RUSHFORD CSD"
22401040000,"SCIO CSD"
22601060000,"WELLSVILLE CSD"
22902040000,"BOLIVAR-RICHBURG CSD"
30101060000,"CHENANGO FORKS CSD"
30200010000,"BINGHAMTON CITY SD"
30501040000,"HARPURSVILLE CSD"
30601060000,"SUSQUEHANNA VALLEY CSD"
30701060000,"CHENANGO VALLEY CSD"
31101060000,"MAINE-ENDWELL CSD"
31301040000,"DEPOSIT CSD"
31401060000,"WHITNEY POINT CSD"
31501060000,"UNION-ENDICOTT CSD"
31502060000,"JOHNSON CITY CSD"
31601060000,"VESTAL CSD"
31701060000,"WINDSOR CSD"
3.9e+10,"BROOME-DELAWARE-TIOGA BOCES"
40204040000,"WEST VALLEY CSD"
40302060000,"ALLEGANY-LIMESTONE CSD"
40901040000,"ELLICOTTVILLE CSD"
41101040000,"FRANKLINVILLE CSD"
41401040000,"HINSDALE CSD"
42302040000,"CATTARAUGUS-LITTLE VALLEY CSD"
42400010000,"OLEAN CITY SD"
42801060000,"GOWANDA CSD"
42901040000,"PORTVILLE CSD"
43001040000,"RANDOLPH CSD"
43011020000,"RANDOLPH ACAD UFSD"
43200050000,"SALAMANCA CITY SD"
43501060000,"YORKSHIRE-PIONEER CSD"
4.9e+10,"CATTAR-ALLEGANY-ERIE-WYOMING BOCES"
50100010000,"AUBURN CITY SD"
50301040000,"WEEDSPORT CSD"
50401040000,"CATO-MERIDIAN CSD"
50701040000,"SOUTHERN CAYUGA CSD"
51101040000,"PORT BYRON CSD"
51301040000,"MORAVIA CSD"
51901040000,"UNION SPRINGS CSD"
5.9e+10,"CAYUGA-ONONDAGA BOCES"
60201060000,"SOUTHWESTERN CSD AT JAMESTOWN"
60301040000,"FREWSBURG CSD"
60401040000,"CASSADAGA VALLEY CSD"
60503040000,"CHAUTAUQUA LAKE CSD"
60601040000,"PINE VALLEY CSD (SOUTH DAYTON)"
60701040000,"CLYMER CSD"
60800010000,"DUNKIRK CITY SD"
61001040000,"BEMUS POINT CSD"
61101040000,"FALCONER CSD"
61501040000,"SILVER CREEK CSD"
61503040000,"FORESTVILLE CSD"
61601040000,"PANAMA CSD"
61700010000,"JAMESTOWN CITY SD"
62201060000,"FREDONIA CSD"
62301040000,"BROCTON CSD"
62401040000,"RIPLEY CSD"
62601040000,"SHERMAN CSD"
62901040000,"WESTFIELD CSD"
70600010000,"ELMIRA CITY SD"
70600861078,"FINN ACADEMY: AN ELMIRA CS"
70901060000,"HORSEHEADS CSD"
70902060000,"ELMIRA HEIGHTS CSD"
80101040000,"AFTON CSD"
80201040000,"BAINBRIDGE-GUILFORD CSD"
80601040000,"GREENE CSD"
81003040000,"UNADILLA VALLEY CSD"
81200050000,"NORWICH CITY SD"
81401040000,"GEORGETOWN-SOUTH OTSELIC CSD"
81501040000,"OXFORD ACADEMY & CSD"
82001040000,"SHERBURNE-EARLVILLE CSD"
90201040000,"AUSABLE VALLEY CSD"
90301060000,"BEEKMANTOWN CSD"
90501040000,"NORTHEASTERN CLINTON CSD"
90601020000,"CHAZY UFSD"
90901040000,"NORTHERN ADIRONDACK CSD"
91101060000,"PERU CSD"
91200010000,"PLATTSBURGH CITY SD"
91402060000,"SARANAC CSD"
9.9e+10,"CLINTON-ESSEX-WARREN-WASHING BOCES"
100501040000,"TACONIC HILLS CSD"
100902040000,"GERMANTOWN CSD"
101001040000,"CHATHAM CSD"
101300010000,"HUDSON CITY SD"
101401040000,"KINDERHOOK CSD"
101601040000,"NEW LEBANON CSD"
110101040000,"CINCINNATUS CSD"
110200010000,"CORTLAND CITY SD"
110304040000,"MCGRAW CSD"
110701060000,"HOMER CSD"
110701861172,"TRUXTON ACADEMY CHARTER SCHOOL"
110901040000,"MARATHON CSD"
120102040000,"ANDES CSD"
120301040000,"DOWNSVILLE CSD"
1.20401e+11,"CHARLOTTE VALLEY CSD"
120401040000,"CHARLOTTE VALLEY CSD"
120501040000,"DELAWARE ACADEMY CSD AT DELHI"
120701040000,"FRANKLIN CSD"
120906040000,"HANCOCK CSD"
121401040000,"MARGARETVILLE CSD"
121502040000,"ROXBURY CSD"
121601060000,"SIDNEY CSD"
121701040000,"STAMFORD CSD"
121702040000,"SOUTH KORTRIGHT CSD"
121901040000,"WALTON CSD"
1.29e+11,"DELAW-CHENANGO-MADISON-OTSEGO BOCES"
130200010000,"BEACON CITY SD"
130502020000,"DOVER UFSD"
130801060000,"HYDE PARK CSD"
131101040000,"NORTHEAST CSD"
131201040000,"PAWLING CSD"
131301040000,"PINE PLAINS CSD"
131500010000,"POUGHKEEPSIE CITY SD"
131601060000,"ARLINGTON CSD"
131602020000,"SPACKENKILL UFSD"
131701060000,"RED HOOK CSD"
131801040000,"RHINEBECK CSD"
132101060000,"WAPPINGERS CSD"
132201040000,"MILLBROOK CSD"
1.39e+11,"DUTCHESS BOCES"
140101060000,"ALDEN CSD"
140201060000,"AMHERST CSD"
140203060000,"WILLIAMSVILLE CSD"
140207060000,"SWEET HOME CSD"
140301030000,"EAST AURORA UFSD"
140600010000,"BUFFALO CITY SD"
140600860814,"KING CENTER CHARTER SCHOOL"
140600860817,"SOUTH BUFFALO CHARTER SCHOOL"
140600860838,"TAPESTRY CHARTER SCHOOL"
140600860851,"BUFFALO UNITED CHARTER SCHOOL"
140600860856,"ENTERPRISE CHARTER SCHOOL"
140600860861,"BUFFALO ACADEMY OF SCIENCE CS"
140600860863,"WESTERN NY MARITIME CHARTER SCHOOL"
140600860874,"WESTMINSTER COMMUNITY CS"
140600860896,"ELMWOOD VILLAGE CS DAYS PARK"
140600860961,"HEALTH SCIENCES CHARTER SCHOOL"
140600860986,"WEST BUFFALO CHARTER SCHOOL"
140600861072,"CHARTER SCHOOL OF INQUIRY"
140600861105,"ELMWOOD VILLAGE CS HERTEL"
140600861109,"REACH ACADEMY CHARTER SCHOOL"
140600861129,"BUFFALO COLLEGIATE CHARTER SCHOOL"
140600861134,"PERSISTENCE PREP ACADEMY CS"
140600861183,"BUFFALO CREEK ACADEMY CS"
