"entity_cd","year","pupil_count_tot","per_federal_exp","per_state_local_exp","per_fed_state_local_exp","num_princ","num_teach","num_counselors","num_social","per_turn_all","per_turn_five_yrs","per_free_lunch","per_reduced_lunch","ELA_per_prof.18","math_per_prof.18","entity_name","student_teacher_ratio"
" 10100010000",2021,8266,1812,20015,21827,16,645,18,31,16,31,69,0,73,70,"ALBANY CITY SD",12.815503875969
" 10201040000",2021,700,763,24521,25284,2,79,4,5,6,21,32,5,88,88,"BERNE-KNOX-WESTERLO CSD",8.86075949367089
" 10306060000",2021,4203,294,17823,18118,7,342,19,9,9,13,12,1,96,96,"BETHLEHEM CSD",12.2894736842105
" 10402060000",2021,1783,719,19621,20340,4,188,7,5,10,35,37,4,87,85,"RAVENA-COEYMANS-SELKIRK CSD",9.48404255319149
" 10500010000",2021,1823,1184,16168,17351,5,176,5,5,10,22,68,0,77,77,"COHOES CITY SD",10.3579545454545
" 10601060000",2021,4754,717,18122,18840,8,364,8,4,9,29,31,2,91,93,"SOUTH COLONIE CSD",13.0604395604396
" 10623060000",2021,5905,530,15924,16454,8,483,21,3,12,24,19,3,96,96,"NORTH COLONIE CSD",12.2256728778468
" 10701030000",2021,241,1816,22492,24308,1,36,1,2,18,50,60,3,85,75,"GREEN ISLAND UFSD",6.69444444444444
" 10802060000",2021,4811,335,17613,17948,7,425,11,8,7,18,16,1,92,94,"GUILDERLAND CSD",11.32
" 11003060000",2021,1179,565,18069,18635,4,91,4,1,8,22,10,1,95,96,"VOORHEESVILLE CSD",12.956043956044
" 11200010000",2021,1334,953,12390,13344,2,102,6,3,6,14,57,3,76,83,"WATERVLIET CITY SD",13.078431372549
" 20101040000",2021,575,649,18795,19444,2,55,2,0,14,15,27,1,94,94,"ALFRED-ALMOND CSD",10.4545454545455
" 20601040000",2021,258,2069,25525,27594,1,23,1,1,19,20,40,7,5,91,"ANDOVER CSD",11.2173913043478
" 20702040000",2021,525,1391,23591,24983,2,55,2,1,11,18,49,5,90,87,"GENESEE VALLEY CSD ",9.54545454545454
" 20801040000",2021,338,2876,19582,22459,2,35,1,0,10,18,53,4,89,95,"BELFAST CSD",9.65714285714286
" 21102040000",2021,197,1451,26341,27792,1,26,1,0,19,14,34,4,72,72,"CANASERAGA CSD",7.57692307692308
" 21601040000",2021,282,3781,29227,33008,1,33,2,0,10,11,68,3,83,78,"FRIENDSHIP CSD",8.54545454545454
" 22001040000",2021,652,843,16863,17705,2,58,1,1,5,20,51,8,94,90,"FILLMORE CSD",11.2413793103448
" 22101040000",2021,167,1141,24112,25252,1,21,1,0,27,10,44,8,82,88,"WHITESVILLE CSD",7.95238095238095
" 22302040000",2021,775,1438,19730,21168,2,78,3,0,12,9,47,9,82,86,"CUBA-RUSHFORD CSD",9.93589743589744
" 22401040000",2021,300,1573,25856,27429,1,29,1,0,15,20,50,2,78,84,"SCIO CSD",10.3448275862069
" 22601060000",2021,1109,1530,18612,20143,2,104,4,3,10,14,49,2,86,87,"WELLSVILLE CSD",10.6634615384615
" 22902040000",2021,686,1052,22183,23235,2,67,3,1,9,18,52,0,87,87,"BOLIVAR-RICHBURG CSD",10.2388059701493
" 30101060000",2021,1359,701,17951,18652,2,112,4,1,6,15,33,4,96,95,"CHENANGO FORKS CSD",12.1339285714286
" 30200010000",2021,4818,2525,18133,20659,9,513,12,12,10,23,74,0,64,69,"BINGHAMTON CITY SD",9.39181286549708
" 30501040000",2021,629,1546,21658,23204,2,65,3,1,3,13,59,1,66,69,"HARPURSVILLE CSD",9.67692307692308
" 30601060000",2021,1361,802,21636,22437,4,125,3,4,8,0,45,6,83,88,"SUSQUEHANNA VALLEY CSD",10.888
