"report_school_year","county_desc","district_name","staff_ind_desc","total_staff_count","avg_sal"
"2020-21","ALBANY","ALBANY CITY SD","Principals & Asst. Principals",40,104867.35
"2020-21","ALBANY","ALBANY CITY SD","Classroom Teacher",626,81646.82907
"2020-21","ALBANY","BRIGHTER CHOICE CS-BOYS","Principals & Asst. Principals",2,102284
"2020-21","ALBANY","BRIGHTER CHOICE CS-BOYS","Classroom Teacher",20,50468.5
"2020-21","ALBANY","BRIGHTER CHOICE CS-GIRLS","Principals & Asst. Principals",2,96973.5
"2020-21","ALBANY","BRIGHTER CHOICE CS-GIRLS","Classroom Teacher",22,49271.68182
"2020-21","ALBANY","KIPP TECH VALLEY CHARTER SCHOOL","Principals & Asst. Principals",5,103000
"2020-21","ALBANY","KIPP TECH VALLEY CHARTER SCHOOL","Classroom Teacher",41,57621.95122
"2020-21","ALBANY","ALBANY COMMUNITY CHARTER SCHOOL","Principals & Asst. Principals",3,107807
"2020-21","ALBANY","ALBANY COMMUNITY CHARTER SCHOOL","Classroom Teacher",23,58411.52174
"2020-21","ALBANY","GREEN TECH HIGH CHARTER SCHOOL","Principals & Asst. Principals",2,124753
"2020-21","ALBANY","GREEN TECH HIGH CHARTER SCHOOL","Classroom Teacher",37,54009.43243
"2020-21","ALBANY","ALBANY LEADERSHIP CS-GIRLS","Principals & Asst. Principals",1,142800
"2020-21","ALBANY","ALBANY LEADERSHIP CS-GIRLS","Classroom Teacher",34,49742.23529
"2020-21","ALBANY","BERNE-KNOX-WESTERLO CSD","Principals & Asst. Principals",2,107500
"2020-21","ALBANY","BERNE-KNOX-WESTERLO CSD","Classroom Teacher",79,65917.11392
"2020-21","ALBANY","BETHLEHEM CSD","Principals & Asst. Principals",9,144157.5556
"2020-21","ALBANY","BETHLEHEM CSD","Classroom Teacher",338,77575.92012
"2020-21","ALBANY","RAVENA-COEYMANS-SELKIRK CSD","Principals & Asst. Principals",6,110856.3333
"2020-21","ALBANY","RAVENA-COEYMANS-SELKIRK CSD","Classroom Teacher",187,67360.08556
"2020-21","ALBANY","COHOES CITY SD","Principals & Asst. Principals",7,119290.5714
"2020-21","ALBANY","COHOES CITY SD","Classroom Teacher",175,69601.95429
"2020-21","ALBANY","SOUTH COLONIE CSD","Principals & Asst. Principals",13,123200.2308
"2020-21","ALBANY","SOUTH COLONIE CSD","Classroom Teacher",364,90080.88736
"2020-21","ALBANY","MENANDS UFSD","Principals & Asst. Principals",1,110000
"2020-21","ALBANY","MENANDS UFSD","Classroom Teacher",29,65305.51724
"2020-21","ALBANY","NORTH COLONIE CSD","Principals & Asst. Principals",12,145111.4167
"2020-21","ALBANY","NORTH COLONIE CSD","Classroom Teacher",478,77870.3682
"2020-21","ALBANY","GREEN ISLAND UFSD","Principals & Asst. Principals",1,99490
"2020-21","ALBANY","GREEN ISLAND UFSD","Classroom Teacher",36,56585.97222
"2020-21","ALBANY","GUILDERLAND CSD","Principals & Asst. Principals",12,124560.0833
