"District.Name","Month","NewCasesStudents","NewCasesTeachers","NewCasesStaff","num.report.school","AccuCasesStudents","AccuCasesTeachers","AccuCasesStaff","NCESDistrictID","pop.5.17","Norm.New.Stud","share_inperson","share_hybrid","share_virtual","id_name","year","pupil_count_tot","per_federal_exp","per_state_local_exp","per_fed_state_local_exp","num_princ","num_teach","num_counselors","num_social","per_turn_all","per_turn_five_yrs","per_free_lunch","per_reduced_lunch","ELA_per_prof.18","math_per_prof.18","entity_name","student_teacher_ratio","district_name","report_school_year","Princ_Sal","Teacher_Sal","LaggedStudCases"
"ADDISON CSD","2020-11-01",5,0,1,3,8,3,1,3602370,1203,4.15627597672485,0,1,0,570101040000,2021,1006,1992,21104,23097,3,94,4,1,2,0,50,5,78,82,"ADDISON CSD",10.7021276595745,"ADDISON CSD","2020-21",101433.3333,72231.54255,3
"ADDISON CSD","2020-12-01",11,6,4,3,19,9,5,3602370,1203,9.14380714879468,0,1,0,570101040000,2021,1006,1992,21104,23097,3,94,4,1,2,0,50,5,78,82,"ADDISON CSD",10.7021276595745,"ADDISON CSD","2020-21",101433.3333,72231.54255,5
"ADDISON CSD","2021-01-01",7,3,6,3,26,12,11,3602370,1203,5.8187863674148,0,1,0,570101040000,2021,1006,1992,21104,23097,3,94,4,1,2,0,50,5,78,82,"ADDISON CSD",10.7021276595745,"ADDISON CSD","2020-21",101433.3333,72231.54255,11
"ADDISON CSD","2021-02-01",2,1,1,2,28,13,12,3602370,1203,1.66251039068994,0,1,0,570101040000,2021,1006,1992,21104,23097,3,94,4,1,2,0,50,5,78,82,"ADDISON CSD",10.7021276595745,"ADDISON CSD","2020-21",101433.3333,72231.54255,7
"ADDISON CSD","2021-03-01",5,0,2,2,33,13,14,3602370,1203,4.15627597672485,0,1,0,570101040000,2021,1006,1992,21104,23097,3,94,4,1,2,0,50,5,78,82,"ADDISON CSD",10.7021276595745,"ADDISON CSD","2020-21",101433.3333,72231.54255,2
"ADDISON CSD","2021-04-01",7,0,3,2,40,13,17,3602370,1203,5.8187863674148,0,1,0,570101040000,2021,1006,1992,21104,23097,3,94,4,1,2,0,50,5,78,82,"ADDISON CSD",10.7021276595745,"ADDISON CSD","2020-21",101433.3333,72231.54255,5
"ADDISON CSD","2021-05-01",4,0,0,2,44,13,17,3602370,1203,3.32502078137988,0,1,0,570101040000,2021,1006,1992,21104,23097,3,94,4,1,2,0,50,5,78,82,"ADDISON CSD",10.7021276595745,"ADDISON CSD","2020-21",101433.3333,72231.54255,7
"ADIRONDACK CSD","2020-11-01",2,0,0,1,2,0,0,3605040,1337,1.49588631264024,0,0.84592777,0.15407225,410401060000,2021,1161,650,18648,19298,4,89,6,0,9,22,50,6,94,93,"ADIRONDACK CSD",13.0449438202247,"ADIRONDACK CSD","2020-21",99158.8,67361.625,NA
"ADIRONDACK CSD","2020-12-01",11,5,3,4,13,5,3,3605040,1337,8.22737471952132,0,0.13140811,0.8685919,410401060000,2021,1161,650,18648,19298,4,89,6,0,9,22,50,6,94,93,"ADIRONDACK CSD",13.0449438202247,"ADIRONDACK CSD","2020-21",99158.8,67361.625,2
"ADIRONDACK CSD","2021-01-01",26,1,2,4,39,6,5,3605040,1337,19.4465220643231,0,0.47940987,0.52059013,410401060000,2021,1161,650,18648,19298,4,89,6,0,9,22,50,6,94,93,"ADIRONDACK CSD",13.0449438202247,"ADIRONDACK CSD","2020-21",99158.8,67361.625,11
"ADIRONDACK CSD","2021-02-01",0,1,0,1,39,7,5,3605040,1337,0,0,1,0,410401060000,2021,1161,650,18648,19298,4,89,6,0,9,22,50,6,94,93,"ADIRONDACK CSD",13.0449438202247,"ADIRONDACK CSD","2020-21",99158.8,67361.625,26
"ADIRONDACK CSD","2021-03-01",9,4,0,3,48,11,5,3605040,1337,6.73148840688108,0,1,0,410401060000,2021,1161,650,18648,19298,4,89,6,0,9,22,50,6,94,93,"ADIRONDACK CSD",13.0449438202247,"ADIRONDACK CSD","2020-21",99158.8,67361.625,0
"ADIRONDACK CSD","2021-04-01",8,2,0,3,56,13,5,3605040,1337,5.98354525056096,0.66732401,0.33267599,0,410401060000,2021,1161,650,18648,19298,4,89,6,0,9,22,50,6,94,93,"ADIRONDACK CSD",13.0449438202247,"ADIRONDACK CSD","2020-21",99158.8,67361.625,9
"ADIRONDACK CSD","2021-05-01",10,0,1,3,66,13,6,3605040,1337,7.4794315632012,0.93327993,0,0.066720076,410401060000,2021,1161,650,18648,19298,4,89,6,0,9,22,50,6,94,93,"ADIRONDACK CSD",13.0449438202247,"ADIRONDACK CSD","2020-21",99158.8,67361.625,8
"AFTON CSD","2021-01-01",6,2,4,2,9,5,5,3602400,580,10.3448275862069,0.39063573,0.60936427,0,80101040000,2021,481,1938,24549,26486,2,59,4,0,16,33,56,0,88,90,"AFTON CSD",8.15254237288136,"AFTON CSD","2020-21",92625,56815.89831,3
"AFTON CSD","2021-02-01",3,0,0,2,12,5,5,3602400,580,5.17241379310345,0.39408407,0.6059159,0,80101040000,2021,481,1938,24549,26486,2,59,4,0,16,33,56,0,88,90,"AFTON CSD",8.15254237288136,"AFTON CSD","2020-21",92625,56815.89831,6
"AFTON CSD","2021-03-01",6,0,3,2,18,5,8,3602400,580,10.3448275862069,0.38664603,0.61335397,0,80101040000,2021,481,1938,24549,26486,2,59,4,0,16,33,56,0,88,90,"AFTON CSD",8.15254237288136,"AFTON CSD","2020-21",92625,56815.89831,3
"AFTON CSD","2021-04-01",2,0,1,2,20,5,9,3602400,580,3.44827586206897,0.50314468,0.49685535,0,80101040000,2021,481,1938,24549,26486,2,59,4,0,16,33,56,0,88,90,"AFTON CSD",8.15254237288136,"AFTON CSD","2020-21",92625,56815.89831,6
"AFTON CSD","2021-06-01",1,0,0,1,21,5,9,3602400,580,1.72413793103448,1,0,0,80101040000,2021,481,1938,24549,26486,2,59,4,0,16,33,56,0,88,90,"AFTON CSD",8.15254237288136,"AFTON CSD","2020-21",92625,56815.89831,2
