"id_name","NewCasesStudents","NewCasesTeachers","NewCasesStaff","Norm.New.Stud","share_inperson","share_hybrid","share_virtual","year","pupil_count_tot","per_federal_exp","per_state_local_exp","per_fed_state_local_exp","num_princ","num_teach","num_counselors","num_social","per_turn_all","per_turn_five_yrs","per_free_lunch","per_reduced_lunch","ELA_per_prof.18","math_per_prof.18","entity_name","student_teacher_ratio","district_name","report_school_year","Princ_Sal","Teacher_Sal"
10100010000,257,56,67,23.627838558426,0,0.975779983333333,0.0242200178333333,2021,8266,1812,20015,21827,16,645,18,31,16,31,69,0,73,70,"ALBANY CITY SD",12.815503875969,"ALBANY CITY SD","2020-21",104867.35,81646.82907
10201040000,14,7,9,14.1987829614604,0.506198811666667,0.493801218333333,0,2021,700,763,24521,25284,2,79,4,5,6,21,32,5,88,88,"BERNE-KNOX-WESTERLO CSD",8.86075949367089,"BERNE-KNOX-WESTERLO CSD","2020-21",107500,65917.11392
10306060000,189,22,16,37.3887240356083,0.0854836714,0.857176488,0.0573398318,2021,4203,294,17823,18118,7,342,19,9,9,13,12,1,96,96,"BETHLEHEM CSD",12.2894736842105,"BETHLEHEM CSD","2020-21",144157.5556,77575.92012
10402060000,67,22,18,33.0374753451677,0,1,0,2021,1783,719,19621,20340,4,188,7,5,10,35,37,4,87,85,"RAVENA-COEYMANS-SELKIRK CSD",9.48404255319149,"RAVENA-COEYMANS-SELKIRK CSD","2020-21",110856.3333,67360.08556
10500010000,100,8,12,50.4032258064516,0.51293237625,0.48706763125,0,2021,1823,1184,16168,17351,5,176,5,5,10,22,68,0,77,77,"COHOES CITY SD",10.3579545454545,"COHOES CITY SD","2020-21",119290.5714,69601.95429
10601060000,205,43,25,39.5752895752896,0.377631308888889,0.622368687777778,0,2021,4754,717,18122,18840,8,364,8,4,9,29,31,2,91,93,"SOUTH COLONIE CSD",13.0604395604396,"SOUTH COLONIE CSD","2020-21",123200.2308,90080.88736
10615020000,6,2,7,15.8311345646438,0.887073115,0,0.1129268775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MENANDS UFSD","2020-21",110000,65305.51724
10623060000,263,25,34,0,0.499190126,0.371369734,0.1294401424,2021,5905,530,15924,16454,8,483,21,3,12,24,19,3,96,96,"NORTH COLONIE CSD",12.2256728778468,"NORTH COLONIE CSD","2020-21",145111.4167,77870.3682
10701030000,21,5,1,69.078947368421,0,1,0,2021,241,1816,22492,24308,1,36,1,2,18,50,60,3,85,75,"GREEN ISLAND UFSD",6.69444444444444,"GREEN ISLAND UFSD","2020-21",99490,56585.97222
10802060000,181,26,40,35.0164441864964,0.369581532222222,0.556644692222222,0.0737737827333333,2021,4811,335,17613,17948,7,425,11,8,7,18,16,1,92,94,"GUILDERLAND CSD",11.32,"GUILDERLAND CSD","2020-21",124560.0833,79059.03333
11003060000,51,6,10,44.1176470588235,0.486167395,0.51383262,0,2021,1179,565,18069,18635,4,91,4,1,8,22,10,1,95,96,"VOORHEESVILLE CSD",12.956043956044,"VOORHEESVILLE CSD","2020-21",103357.75,69478.53846
11200010000,66,13,10,44.8674371176071,0.514830561111111,0.485169438888889,0,2021,1334,953,12390,13344,2,102,6,3,6,14,57,3,76,83,"WATERVLIET CITY SD",13.078431372549,"WATERVLIET CITY SD","2020-21",101243.4,70140.08824
1.9e+10,34,5,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAPITAL REGION BOCES","2020-21",101380,73208.16154
20101040000,16,1,7,28.0701754385965,0,1,0,2021,575,649,18795,19444,2,55,2,0,14,15,27,1,94,94,"ALFRED-ALMOND CSD",10.4545454545455,"ALFRED-ALMOND CSD","2020-21",105392.5,58410.34545
20601040000,11,1,3,29.9727520435967,0,0.81858994,0.18141006075,2021,258,2069,25525,27594,1,23,1,1,19,20,40,7,5,91,"ANDOVER CSD",11.2173913043478,"ANDOVER CSD","2020-21",92725,58567.47826
20702040000,24,6,7,40.6779661016949,0.150538528,0.69886103,0.1506004412,2021,525,1391,23591,24983,2,55,2,1,11,18,49,5,90,87,"GENESEE VALLEY CSD ",9.54545454545454,"GENESEE VALLEY CSD","2020-21",96639,57789.90909
20801040000,6,0,2,17.2413793103448,0.086356402,0.871742428,0.0419011672,2021,338,2876,19582,22459,2,35,1,0,10,18,53,4,89,95,"BELFAST CSD",9.65714285714286,"BELFAST CSD","2020-21",80290,56530.77143
21102040000,22,2,3,86.9565217391304,0.88770093,0.112299067875,0,2021,197,1451,26341,27792,1,26,1,0,19,14,34,4,72,72,"CANASERAGA CSD",7.57692307692308,"CANASERAGA CSD","2020-21",83970,51988.72
21601040000,9,6,7,25,0,1,0,2021,282,3781,29227,33008,1,33,2,0,10,11,68,3,83,78,"FRIENDSHIP CSD",8.54545454545454,"FRIENDSHIP CSD","2020-21",81635.5,55243.78125
22001040000,16,8,3,20.9424083769634,0,1,0,2021,652,843,16863,17705,2,58,1,1,5,20,51,8,94,90,"FILLMORE CSD",11.2413793103448,"FILLMORE CSD","2020-21",89350,58526.34483
22101040000,6,2,1,29.5566502463054,1,0,0,2021,167,1141,24112,25252,1,21,1,0,27,10,44,8,82,88,"WHITESVILLE CSD",7.95238095238095,"WHITESVILLE CSD","2020-21",77438,51197.65
22302040000,26,6,7,28.1081081081081,0,0.87813905,0.12186095,2021,775,1438,19730,21168,2,78,3,0,12,9,47,9,82,86,"CUBA-RUSHFORD CSD",9.93589743589744,"CUBA-RUSHFORD CSD","2020-21",90248.33333,53534.76623
22401040000,11,5,6,29.5698924731183,1,0,0,2021,300,1573,25856,27429,1,29,1,0,15,20,50,2,78,84,"SCIO CSD",10.3448275862069,"SCIO CSD","2020-21",91415,58385.89655
22601060000,30,7,8,23.5478806907378,0.572424002222222,0.348726195555556,0.0788498032222222,2021,1109,1530,18612,20143,2,104,4,3,10,14,49,2,86,87,"WELLSVILLE CSD",10.6634615384615,"WELLSVILLE CSD","2020-21",88783.33333,60124.20192
22902040000,16,8,5,22.5988700564972,0.449771523,0.550228471,0,2021,686,1052,22183,23235,2,67,3,1,9,18,52,0,87,87,"BOLIVAR-RICHBURG CSD",10.2388059701493,"BOLIVAR-RICHBURG CSD","2020-21",92447.66667,57948.67164
30101060000,70,11,16,45.1904454486766,0.0118956388888889,0.916770888888889,0.0713334774444444,2021,1359,701,17951,18652,2,112,4,1,6,15,33,4,96,95,"CHENANGO FORKS CSD",12.1339285714286,"CHENANGO FORKS CSD","2020-21",94484.33333,66991.10714
30200010000,204,35,44,35.0877192982456,0,0.6530240242,0.3469759734,2021,4818,2525,18133,20659,9,513,12,12,10,23,74,0,64,69,"BINGHAMTON CITY SD",9.39181286549708,"BINGHAMTON CITY SD","2020-21",101170.4737,63013.97436
30501040000,20,7,3,23.8663484486874,0,1,0,2021,629,1546,21658,23204,2,65,3,1,3,13,59,1,66,69,"HARPURSVILLE CSD",9.67692307692308,"HARPURSVILLE CSD","2020-21",96404,62175.93548
30601060000,123,16,19,71.6783216783217,0.611448135555556,0.388551861111111,0,2021,1361,802,21636,22437,4,125,3,4,8,0,45,6,83,88,"SUSQUEHANNA VALLEY CSD",10.888,"SUSQUEHANNA VALLEY CSD","2020-21",110741.1667,69326.16
30701060000,119,14,18,67.8062678062678,0.771590264,0.228409742,0,2021,1614,840,18012,18852,4,120,7,4,11,30,37,3,87,90,"CHENANGO VALLEY CSD",13.45,"CHENANGO VALLEY CSD","2020-21",97642.8,62803.07692
31101060000,87,18,8,38.9261744966443,0,0.83232417,0.167675835,2021,2455,470,15569,16039,4,167,7,3,11,21,34,3,88,91,"MAINE-ENDWELL CSD",14.7005988023952,"MAINE-ENDWELL CSD","2020-21",101082.2222,63768.45181
31301040000,19,5,5,33.6879432624114,0,1,0,2021,469,1190,27846,29036,3,51,2,2,4,11,51,2,88,91,"DEPOSIT CSD",9.19607843137255,"DEPOSIT CSD","2020-21",91718.33333,61292.01961
31401060000,72,12,10,53.7313432835821,0.360847261,0.58301092,0.0561418164,2021,1408,1156,18488,19644,2,133,5,3,13,7,48,5,83,89,"WHITNEY POINT CSD",10.5864661654135,"WHITNEY POINT CSD","2020-21",102731.75,63286.78571
31501060000,182,30,25,42.9650613786591,0.151613253,0.77672201,0.0716647428,2021,3464,1345,18352,19697,7,299,8,8,5,6,48,3,82,83,"UNION-ENDICOTT CSD",11.5852842809365,"UNION-ENDICOTT CSD","2020-21",93849.92308,64177.01003
31502060000,107,25,16,42.8171268507403,0,0.888559427777778,0.111440567555556,2021,2196,1045,18114,19159,3,191,5,6,7,6,59,3,84,89,"JOHNSON CITY CSD",11.4973821989529,"JOHNSON CITY CSD","2020-21",100452.2222,60568.93194
31601060000,156,25,37,42.4720936564117,0,1,0,2021,3195,444,18612,19057,6,285,12,2,11,32,25,3,92,93,"VESTAL CSD",11.2105263157895,"VESTAL CSD","2020-21",105482.4,67869.44803
