District.Name,Month,NewCasesStudents,NewCasesTeachers,NewCasesStaff,num.report.school,AccuCasesStudents,AccuCasesTeachers,AccuCasesStaff,NCESDistrictID,pop.5.17,Norm.New.Stud,share_inperson,share_hybrid,share_virtual
ADDISON CSD,2020-10-01,3,3,0,2,3,3,0,3602370,1203,2.493765586034913,0,0.77552199,0.22447799
ADDISON CSD,2020-11-01,5,0,1,3,8,3,1,3602370,1203,4.156275976724855,0,1,0
ADDISON CSD,2020-12-01,11,6,4,3,19,9,5,3602370,1203,9.14380714879468,0,1,0
ADDISON CSD,2021-01-01,7,3,6,3,26,12,11,3602370,1203,5.818786367414797,0,1,0
ADDISON CSD,2021-02-01,2,1,1,2,28,13,12,3602370,1203,1.6625103906899419,0,1,0
ADDISON CSD,2021-03-01,5,0,2,2,33,13,14,3602370,1203,4.156275976724855,0,1,0
ADDISON CSD,2021-04-01,7,0,3,2,40,13,17,3602370,1203,5.818786367414797,0,1,0
ADDISON CSD,2021-05-01,4,0,0,2,44,13,17,3602370,1203,3.3250207813798838,0,1,0
ADIRONDACK CSD,2020-11-01,2,0,0,1,2,0,0,3605040,1337,1.4958863126402393,0,0.84592777,0.15407225
ADIRONDACK CSD,2020-12-01,11,5,3,4,13,5,3,3605040,1337,8.227374719521316,0,0.13140811,0.8685919
ADIRONDACK CSD,2021-01-01,26,1,2,4,39,6,5,3605040,1337,19.44652206432311,0,0.47940987,0.52059013
ADIRONDACK CSD,2021-02-01,0,1,0,1,39,7,5,3605040,1337,0,0,1,0
ADIRONDACK CSD,2021-03-01,9,4,0,3,48,11,5,3605040,1337,6.731488406881077,0,1,0
ADIRONDACK CSD,2021-04-01,8,2,0,3,56,13,5,3605040,1337,5.983545250560957,0.66732401,0.33267599,0
ADIRONDACK CSD,2021-05-01,10,0,1,3,66,13,6,3605040,1337,7.479431563201197,0.93327993,0,0.066720076
AFTON CSD,2020-10-01,3,3,1,2,3,3,1,3602400,580,5.172413793103448,0.098128513,0.80175054,0.10012097
AFTON CSD,2021-01-01,6,2,4,2,9,5,5,3602400,580,10.344827586206897,0.39063573,0.60936427,0
AFTON CSD,2021-02-01,3,0,0,2,12,5,5,3602400,580,5.172413793103448,0.39408407,0.6059159,0
AFTON CSD,2021-03-01,6,0,3,2,18,5,8,3602400,580,10.344827586206897,0.38664603,0.61335397,0
AFTON CSD,2021-04-01,2,0,1,2,20,5,9,3602400,580,3.4482758620689653,0.50314468,0.49685535,0
AFTON CSD,2021-06-01,1,0,0,1,21,5,9,3602400,580,1.7241379310344827,1,0,0
AKRON CSD,2020-09-01,1,0,0,1,1,0,0,3602430,1499,0.66711140760507,0,1,0
AKRON CSD,2020-10-01,2,0,1,2,3,0,1,3602430,1499,1.33422281521014,0,1,0
AKRON CSD,2020-11-01,1,4,1,2,4,4,2,3602430,1499,0.66711140760507,0,0.97154093,0.028459053
AKRON CSD,2020-12-01,5,3,1,3,9,7,3,3602430,1499,3.33555703802535,0,0.30052614,0.69947386
AKRON CSD,2021-01-01,20,2,3,3,29,9,6,3602430,1499,13.3422281521014,0,0.9353621,0.064637907
AKRON CSD,2021-02-01,7,0,1,3,36,9,7,3602430,1499,4.66977985323549,0,1,0
AKRON CSD,2021-03-01,6,0,1,2,42,9,8,3602430,1499,4.0026684456304205,0,1,0
AKRON CSD,2021-04-01,8,3,0,3,50,12,8,3602430,1499,5.33689126084056,0,1,0
AKRON CSD,2021-05-01,2,0,0,2,52,12,8,3602430,1499,1.33422281521014,0,1,0
